A00.0,"Cholera zapríčinená Vibrio cholerae 01, biovar cholerae"
A00.1,"Cholera zapríčinená Vibrio cholerae 01, biovar eltor"
A00.9,Nešpecifikovaná cholera
A01.0,Brušný týfus
A01.1,Paratýfus A
A01.2,Paratýfus B
A01.3,Paratýfus C
A01.4,Nešpecifikovaný paratýfus
A02.0,Salmonelová enteritída
A02.1,Salmonelová septikémia
A02.2,Lokalizované salmonelové infekcie
A02.8,Iné špecifikované salmonelové infekcie
A02.9,Nešpecifikované salmonelové infekcie
A03.0,Šigelóza zapríčinená Shigella dysenteriae
A03.1,Šigelóza zapríčinená Shigella flexneri
A03.2,Šigelóza zapríčinená Shigella boydii
A03.3,Šigelóza zapríčinená Shigella sonnei
A03.8,Iné šigelózy
A03.9,Nešpecifikovaná šigelóza
A04.0,Infekcia enteropatogénnymi Escherichia coli
A04.1,Infekcia enterotoxigénnymi Escherichia coli
A04.2,Infekcia enteroinvazívnymi Escherichia coli
A04.3,Infekcia enterohemoragickými Escherichia coli
A04.4,Iné črevné infekcie Escherichia coli
A04.5,Kampylobakteriálna enteritída
A04.6,Enteritída zapríčinená Yersinia enterocolitica
A04.7,Enterokolitída zapríčinená Clostridium difficile
A04.8,Iné špecifikované bakteriálne infekcie
A04.9,Nešpecifikované bakteriálne črevné infekcie
A05.0,Alimentárna stafylokoková intoxikácia
A05.1,Botulizmus
A05.2,Alimentárna intoxikácia Clostridium perfringens [Clostridium welchii]
A05.3,Alimentárna intoxikácia Vibrio parahaemolyticus
A05.4,Alimentárna intoxikácia Bacillus cereus
A05.8,Iné špecifikované bakteriálne alimentárne intoxikácie
A05.9,Nešpecifikované bakteriálne alimentárne intoxikácie
A06.0,Akútna amébová dyzentéria
A06.1,Chronická črevná amebóza
A06.2,Amébová nedyzenterická kolitída
A06.3,Amebóm čreva
A06.4,Amébový absces pečene
A06.5,Amébový absces pľúc (J99.8*)
A06.6,Amébový absces mozgu (G07*)
A06.7,Kožná amebóza
A06.8,Amébová infekcia na iných miestach
A06.9,Nešpecifikovaná amebóza
A07.0,Balantidióza
A07.1,Giardióza [lambliáza]
A07.2,Kryptosporidióza
A07.3,Izosporióza
A07.8,Iné špecifikované protozoárne črevné choroby
A07.9,Nešpecifikovaná protozoárna črevná choroba
A08.0,Rotavírusová enteritída
A08.1,Akútna gastroenteropatia zapríčinená vírusom Norwalk
A08.2,Adenovírusová enteritída
A08.3,Iné vírusové enteritídy
A08.4,Nešpecifikovaná vírusová črevná infekcia
A08.5,Iné špecifikované črevné infekcie
A09,Hnačka a gastroenteritída pravdepodobne infekčného pôvodu
A15.0,Tuberkulóza pľúc potvrdená mikroskopiou spúta (chriakov) s kultivačným vyšetrením alebo bez neho
A15.1,Tuberkulóza pľúc potvrdená len kultiváciou
A15.2,Tuberkulóza pľúc potvrdená histologicky
A15.3,Tuberkulóza pľúc potvrdená nešpecifikovanými prostriedkami
A15.4,Tuberkulóza vnútrohrudníkových lymfatických uzlín potvrdená bakteriologicky a histologicky
A15.5,"Tuberkulóza laryngu, trachey a bronchov potvrdená bakteriologicky a histologicky"
A15.6,Tuberkulózna pleuritída potvrdená bakteriologicky a histologicky
A15.7,Primárna respiračná tuberkulóza potvrdená bakteriologicky a histologicky
A15.8,Iná respiračná tuberkulóza potvrdená bakteriologicky a histologicky
A15.9,Nešpecifikovaná respiračná tuberkulóza potvrdená bakteriologicky a histologicky
A16.0,Tuberkulóza pľúc bakteriologicky a histologicky negatívna
A16.1,Tuberkulóza pľúc bakteriologicky a histologicky nevyšetrená
A16.2,Tuberkulóza pľúc bez údaja o bakteriologickom alebo histologickom potvrdení
A16.3,Tuberkulóza vnútrohrudníkových lymfatických uzlín bez údaja o bakteriologickom alebo histologickom potvrdení
A16.4,"Tuberkulóza laryngu, trachey a bronchov bez údaja o bakteriologickom alebo histologickom potvrdení"
A16.5,Tuberkulózna pleuritída bez údaja o bakteriologickom alebo histologickom potvrdení
A16.7,Primárna respiračná tuberkulóza bez údaja o bakteriologickom alebo histologickom potvrdení
A16.8,Iná respiračná tuberkulóza bez údaja o bakteriologickom alebo histologickom potvrdení
A16.9,Nešpecifikovaná respiračná tuberkulóza bez údaja o bakteriologickom alebo histologickom potvrdení
A17.0,Tuberkulózna meningitída (G01*)
A17.1,Meningeálny tuberkulóm (G07*)
A17.8,Iná tuberkulóza nervového systému
A17.9,Nešpecifikovaná tuberkulóza nervového systému (G99.8*)
A18.0,Tuberkulóza kostí a kĺbov
A18.1,Tuberkulóza močovopohlavnej sústavy
A18.2,Tuberkulózna periférna lymfadenopatia
A18.3,"Tuberkulóza čriev, peritonea a mezenterických uzlín"
A18.4,Tuberkulóza kože a podkožného tkaniva
A18.5,Tuberkulóza oka
A18.6,Tuberkulóza ucha
A18.7,Tuberkulóza nadobličiek (E35.1*)
A18.8,Tuberkulóza iných špecifikovaných orgánov
A19.0,Akútna miliárna tuberkulóza na jedinom špecifikovanom mieste
A19.1,Akútna miliárna tuberkulóza na viacerých miestach
A19.2,Nešpecifikovaná akútna miliárna tuberkulóza
A19.8,Iná miliárna tuberkulóza
A19.9,Nešpecifikovaná miliárna tuberkulóza
A20.0,Bubonový mor
A20.1,Kožná forma moru
A20.2,Pľúcna forma moru
A20.3,Morová meningitída
A20.7,Septikemická forma moru
A20.8,Iné formy moru
A20.9,Nešpecifikovaný mor
A21.0,Ulceroglandulárna tularémia
A21.1,Okuloglandulárna tularémia
A21.2,Pľúcna tularémia
A21.3,Gastrointestinálna tularémia
A21.7,Generalizovaná tularémia
A21.8,Iné formy tularémie
A21.9,Nešpecifikovaná tularémia
A22.0,Kožný antrax
A22.1,Pľúcny antrax
A22.2,Gastrointestinálny antrax
A22.7,Antraxová septikémia
A22.8,Iné formy antraxu
A22.9,Nešpecifikovaný antrax
A23.0,Brucelóza zapríčinená Brucella melitensis
A23.1,Brucelóza zapríčinená Brucella abortus
A23.2,Brucelóza zapríčinená Brucella suis
A23.3,Brucelóza zapríčinená Brucella canis
A23.8,Iná brucelóza
A23.9,Nešpecifikovaná brucelóza
A24.0,Sopľavka
A24.1,Akútna a fulminantná melioidóza
A24.2,Subakútna a chronická melioidóza
A24.3,Iná melioidóza
A24.4,Nešpecifikovaná melioidóza
A25.0,Spirilóza
A25.1,Streptobacilóza
A25.9,Horúčka od potkanieho uhryznutia nešpecifikovaná
A26.0,Kožný eryzipeloid
A26.7,Eryzipelotrixová septikémia
A26.8,Iné formy eryzipeloidu
A26.9,Nešpecifikovaný eryzipeloid
A27.0,Leptospirosis icterohaemorrhagica - Weilova choroba
A27.8,Iné formy leptospirózy
A27.9,Nešpecifikovaná leptospiróza
A28.0,Pasteurelóza
A28.1,Choroba z mačacieho uškrabnutia
A28.2,Extraintestinálna yersinióza
A28.8,Iné špecifikované baktériové zoonózy nezatriedené inde
A28.9,Nešpecifikovaná baktériová zoonóza
A30.0,Neurčená lepra
A30.1,Tuberkuloidná lepra
A30.2,Hraničná tuberkuloidná lepra
A30.3,Hraničná lepra
A30.4,Hraničná lepromatózna lepra
A30.5,Lepromatózna lepra
A30.8,Iné formy lepry
A30.9,Nešpecifikovaná lepra
A31.0,Pľúcna mykobakterióza
A31.1,Kožné mykobakteriózy
A31.8,Iné mykobakteriózy
A31.9,Nešpecifikovaná mykobakterióza
A32.0,Kožná listerióza
